"train/global_step","./fine_tuned_bert - _step","./fine_tuned_bert - _step__MIN","./fine_tuned_bert - _step__MAX","./fine_tuned_bert - train/loss","./fine_tuned_bert - train/loss__MIN","./fine_tuned_bert - train/loss__MAX"
"10","0","0","0","5.6453","5.6453","5.6453"
"20","1","1","1","4.8382","4.8382","4.8382"
"30","2","2","2","3.8136","3.8136","3.8136"
"40","3","3","3","3.3582","3.3582","3.3582"
"50","4","4","4","2.8494","2.8494","2.8494"
"60","5","5","5","2.5347","2.5347","2.5347"
"70","6","6","6","2.1984","2.1984","2.1984"
"80","7","7","7","1.9302","1.9302","1.9302"
"90","8","8","8","1.9908","1.9908","1.9908"
"100","9","9","9","1.6054","1.6054","1.6054"
"110","10","10","10","1.5734","1.5734","1.5734"
"120","11","11","11","1.2307","1.2307","1.2307"
"130","12","12","12","1.0554","1.0554","1.0554"
"140","13","13","13","1.082","1.082","1.082"
"150","14","14","14","1.0195","1.0195","1.0195"
"160","15","15","15","0.7232","0.7232","0.7232"
"170","16","16","16","0.7838","0.7838","0.7838"
"180","17","17","17","0.6666","0.6666","0.6666"
"190","18","18","18","0.5291","0.5291","0.5291"
"200","19","19","19","0.5311","0.5311","0.5311"
"210","20","20","20","0.464","0.464","0.464"
"220","21","21","21","0.3374","0.3374","0.3374"
"230","22","22","22","0.4553","0.4553","0.4553"