"train/global_step","./fine_tuned_roberta - _step","./fine_tuned_roberta - _step__MIN","./fine_tuned_roberta - _step__MAX","./fine_tuned_roberta - train/loss","./fine_tuned_roberta - train/loss__MIN","./fine_tuned_roberta - train/loss__MAX"
"10","0","0","0","6.3322","6.3322","6.3322"
"20","1","1","1","6.2603","6.2603","6.2603"
"30","2","2","2","6.1844","6.1844","6.1844"
"40","3","3","3","6.0833","6.0833","6.0833"
"50","4","4","4","5.932","5.932","5.932"
"60","5","5","5","5.5631","5.5631","5.5631"
"70","6","6","6","4.9502","4.9502","4.9502"
"80","7","7","7","4.4123","4.4123","4.4123"
"90","8","8","8","3.9416","3.9416","3.9416"
"100","9","9","9","3.7289","3.7289","3.7289"
"110","10","10","10","3.6634","3.6634","3.6634"
"120","11","11","11","3.2491","3.2491","3.2491"
"130","12","12","12","3.4144","3.4144","3.4144"
"140","13","13","13","3.2438","3.2438","3.2438"
"150","14","14","14","2.8906","2.8906","2.8906"
"160","15","15","15","2.666","2.666","2.666"
"170","16","16","16","2.6583","2.6583","2.6583"
"180","17","17","17","2.7075","2.7075","2.7075"
"190","18","18","18","2.4143","2.4143","2.4143"
"200","19","19","19","2.1964","2.1964","2.1964"
"210","20","20","20","2.2612","2.2612","2.2612"
"220","21","21","21","2.2006","2.2006","2.2006"
"230","22","22","22","2.039","2.039","2.039"
"240","23","23","23","1.8662","1.8662","1.8662"
"250","24","24","24","1.7515","1.7515","1.7515"
"260","25","25","25","1.6609","1.6609","1.6609"
"270","26","26","26","1.836","1.836","1.836"
"280","27","27","27","1.7314","1.7314","1.7314"
"290","28","28","28","1.5156","1.5156","1.5156"
"300","29","29","29","1.482","1.482","1.482"
"310","30","30","30","1.3472","1.3472","1.3472"
"320","31","31","31","1.2463","1.2463","1.2463"
"330","32","32","32","1.1043","1.1043","1.1043"
"340","33","33","33","1.274","1.274","1.274"
"350","34","34","34","0.9916","0.9916","0.9916"
"360","35","35","35","1.1075","1.1075","1.1075"
"370","36","36","36","1.0405","1.0405","1.0405"
"380","37","37","37","0.7465","0.7465","0.7465"
"390","38","38","38","0.8615","0.8615","0.8615"
"400","39","39","39","1.0029","1.0029","1.0029"
"410","40","40","40","0.9908","0.9908","0.9908"
"420","41","41","41","0.6756","0.6756","0.6756"
"430","42","42","42","0.6691","0.6691","0.6691"
"440","43","43","43","0.6841","0.6841","0.6841"
"450","44","44","44","0.6739","0.6739","0.6739"
"460","45","45","45","0.8394","0.8394","0.8394"